GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC05_EST_VC16,HC05_MOE_VC16,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC05_EST_VC19,HC05_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC05_EST_VC20,HC05_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC05_EST_VC21,HC05_MOE_VC21
Id,Id2,Geography,Total; Estimate; Total households,Total; Margin of Error; Total households,Married-couple family household; Estimate; Total households,Married-couple family household; Margin of Error; Total households,"Male householder, no wife present, family household; Estimate; Total households","Male householder, no wife present, family household; Margin of Error; Total households","Female householder, no husband present, family household; Estimate; Total households","Female householder, no husband present, family household; Margin of Error; Total households",Nonfamily household; Estimate; Total households,Nonfamily household; Margin of Error; Total households,Total; Estimate; Average household size,Total; Margin of Error; Average household size,Married-couple family household; Estimate; Average household size,Married-couple family household; Margin of Error; Average household size,"Male householder, no wife present, family household; Estimate; Average household size","Male householder, no wife present, family household; Margin of Error; Average household size","Female householder, no husband present, family household; Estimate; Average household size","Female householder, no husband present, family household; Margin of Error; Average household size",Nonfamily household; Estimate; Average household size,Nonfamily household; Margin of Error; Average household size,Total; Estimate; FAMILIES - Total families,Total; Margin of Error; FAMILIES - Total families,Married-couple family household; Estimate; FAMILIES - Total families,Married-couple family household; Margin of Error; FAMILIES - Total families,"Male householder, no wife present, family household; Estimate; FAMILIES - Total families","Male householder, no wife present, family household; Margin of Error; FAMILIES - Total families","Female householder, no husband present, family household; Estimate; FAMILIES - Total families","Female householder, no husband present, family household; Margin of Error; FAMILIES - Total families",Nonfamily household; Estimate; FAMILIES - Total families,Nonfamily household; Margin of Error; FAMILIES - Total families,Total; Estimate; FAMILIES - Average family size,Total; Margin of Error; FAMILIES - Average family size,Married-couple family household; Estimate; FAMILIES - Average family size,Married-couple family household; Margin of Error; FAMILIES - Average family size,"Male householder, no wife present, family household; Estimate; FAMILIES - Average family size","Male householder, no wife present, family household; Margin of Error; FAMILIES - Average family size","Female householder, no husband present, family household; Estimate; FAMILIES - Average family size","Female householder, no husband present, family household; Margin of Error; FAMILIES - Average family size",Nonfamily household; Estimate; FAMILIES - Average family size,Nonfamily household; Margin of Error; FAMILIES - Average family size,Total; Estimate; Total households,Total; Margin of Error; Total households,Married-couple family household; Estimate; Total households,Married-couple family household; Margin of Error; Total households,"Male householder, no wife present, family household; Estimate; Total households","Male householder, no wife present, family household; Margin of Error; Total households","Female householder, no husband present, family household; Estimate; Total households","Female householder, no husband present, family household; Margin of Error; Total households",Nonfamily household; Estimate; Total households,Nonfamily household; Margin of Error; Total households,Total; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Total; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Married-couple family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Married-couple family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,"Male householder, no wife present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Male householder, no wife present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Female householder, no husband present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years","Female householder, no husband present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years",Nonfamily household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Nonfamily household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Total; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Total; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Married-couple family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Married-couple family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,"Male householder, no wife present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Male householder, no wife present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Female householder, no husband present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over","Female householder, no husband present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over",Nonfamily household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Nonfamily household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Households with one or more people 60 years and over,Total; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone,Total; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone,Married-couple family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone,Married-couple family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone,"Male householder, no wife present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Male householder, no wife present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Female householder, no husband present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone","Female householder, no husband present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone",Nonfamily household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone,Nonfamily household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone,Total; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over,Total; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over,Married-couple family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over,Married-couple family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over,"Male householder, no wife present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Male householder, no wife present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Female householder, no husband present, family household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over","Female householder, no husband present, family household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over",Nonfamily household; Estimate; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over,Nonfamily household; Margin of Error; SELECTED HOUSEHOLDS BY TYPE - Householder living alone - 65 years and over
0400000US15,15,Hawaii,445513,2039,229073,2651,24930,1130,56281,1491,135229,1996,2.93,0.01,3.59,0.02,3.73,0.10,3.73,0.06,1.32,0.01,310284,2350,229073,2651,24930,1130,56281,1491,(X),(X),3.50,0.02,3.53,0.02,3.31,0.09,3.46,0.06,(X),(X),445513,2039,229073,2651,24930,1130,56281,1491,135229,1996,34.4,0.4,45.9,0.7,53.2,2.5,59.5,1.5,1.0,0.2,39.7,0.3,39.4,0.5,42.0,2.0,40.0,1.3,39.6,0.8,23.8,0.4,(X),(X),(X),(X),(X),(X),78.3,0.7,7.9,0.2,(X),(X),(X),(X),(X),(X),26.0,0.7
0500000US15001,15001,"Hawaii County, Hawaii",64270,922,30148,950,4266,573,8598,595,21258,1088,2.80,0.04,3.39,0.06,3.82,0.21,3.80,0.21,1.34,0.03,43012,1007,30148,950,4266,573,8598,595,(X),(X),3.37,0.06,3.33,0.06,3.31,0.20,3.53,0.19,(X),(X),64270,922,30148,950,4266,573,8598,595,21258,1088,31.3,1.2,40.1,1.8,57.2,5.6,61.2,4.1,1.6,0.7,41.5,0.9,42.9,1.6,27.8,4.5,32.1,3.3,46.1,2.6,25.7,1.3,(X),(X),(X),(X),(X),(X),77.6,2.0,8.8,0.8,(X),(X),(X),(X),(X),(X),26.5,1.9
0500000US15003,15003,"Honolulu County, Hawaii",307248,1282,160650,1830,16702,924,38768,1129,91128,1435,2.96,0.01,3.64,0.02,3.70,0.12,3.68,0.07,1.31,0.02,216120,1532,160650,1830,16702,924,38768,1129,(X),(X),3.54,0.02,3.59,0.02,3.32,0.10,3.43,0.06,(X),(X),307248,1282,160650,1830,16702,924,38768,1129,91128,1435,35.0,0.5,47.4,0.8,49.3,3.0,57.7,1.6,0.8,0.2,39.7,0.3,38.8,0.6,48.1,2.6,42.9,1.6,38.3,0.8,23.4,0.4,(X),(X),(X),(X),(X),(X),78.8,0.9,7.8,0.3,(X),(X),(X),(X),(X),(X),26.2,0.8
0500000US15007,15007,"Kauai County, Hawaii",21884,501,11865,499,1230,242,2427,302,6362,426,2.98,0.07,3.57,0.11,3.70,0.35,4.03,0.32,1.35,0.06,15522,574,11865,499,1230,242,2427,302,(X),(X),3.51,0.10,3.48,0.09,3.38,0.35,3.74,0.31,(X),(X),21884,501,11865,499,1230,242,2427,302,6362,426,33.9,1.9,42.4,2.8,64.2,8.7,61.5,6.1,1.9,1.4,41.8,1.4,40.8,2.1,38.7,7.9,41.3,5.9,44.6,3.5,22.0,1.6,(X),(X),(X),(X),(X),(X),75.8,3.8,8.9,0.9,(X),(X),(X),(X),(X),(X),30.7,2.9
0500000US15009,15009,"Maui County, Hawaii",52065,810,26402,952,2732,428,6488,521,16443,881,2.90,0.04,3.54,0.07,3.82,0.29,3.82,0.21,1.35,0.04,35622,882,26402,952,2732,428,6488,521,(X),(X),3.44,0.06,3.47,0.06,3.19,0.25,3.45,0.19,(X),(X),52065,810,26402,952,2732,428,6488,521,16443,881,34.9,1.4,44.8,2.1,66.2,6.7,67.5,4.4,1.0,0.7,36.8,1.1,38.9,1.6,28.1,6.4,32.8,4.0,36.6,2.5,24.5,1.4,(X),(X),(X),(X),(X),(X),77.7,2.5,7.1,0.7,(X),(X),(X),(X),(X),(X),22.5,2.2
610U200US15001,15001,"State Senate District 1 (2010), Hawaii",20216,546,9341,465,1428,341,2781,318,6666,563,2.79,0.08,3.41,0.11,3.61,0.36,3.68,0.30,1.39,0.08,13550,496,9341,465,1428,341,2781,318,(X),(X),3.34,0.11,3.35,0.11,3.04,0.31,3.47,0.27,(X),(X),20216,546,9341,465,1428,341,2781,318,6666,563,32.4,2.2,42.2,3.4,55.3,10.8,60.9,6.5,1.9,1.1,43.2,2.2,45.9,2.8,21.5,6.3,36.4,6.1,47.0,3.5,26.1,2.1,(X),(X),(X),(X),(X),(X),79.0,3.6,10.3,1.3,(X),(X),(X),(X),(X),(X),31.1,3.6
610U200US15002,15002,"State Senate District 2 (2010), Hawaii",21335,474,9826,647,1359,301,3017,437,7133,661,2.82,0.08,3.44,0.12,3.79,0.38,3.97,0.38,1.30,0.05,14202,686,9826,647,1359,301,3017,437,(X),(X),3.45,0.09,3.38,0.12,3.46,0.33,3.66,0.35,(X),(X),21335,474,9826,647,1359,301,3017,437,7133,661,31.7,2.0,41.4,3.2,58.7,9.2,59.0,7.1,1.5,1.0,42.3,2.4,42.8,3.4,31.1,8.3,32.4,7.3,47.9,4.8,25.7,2.5,(X),(X),(X),(X),(X),(X),77.0,4.0,9.0,1.7,(X),(X),(X),(X),(X),(X),27.0,4.3
610U200US15003,15003,"State Senate District 3 (2010), Hawaii",22719,664,10981,631,1479,328,2800,443,7459,574,2.77,0.09,3.34,0.12,4.06,0.41,3.73,0.26,1.32,0.06,15260,614,10981,631,1479,328,2800,443,(X),(X),3.32,0.09,3.27,0.11,3.44,0.41,3.45,0.24,(X),(X),22719,664,10981,631,1479,328,2800,443,7459,574,30.1,2.0,37.2,3.0,57.6,10.8,63.9,6.9,1.5,1.3,39.3,2.4,40.5,3.6,30.7,9.0,27.4,4.9,43.6,4.8,25.2,2.1,(X),(X),(X),(X),(X),(X),76.9,3.9,7.2,1.0,(X),(X),(X),(X),(X),(X),21.8,3.0
610U200US15004,15004,"State Senate District 4 (2010), Hawaii",15928,435,8733,453,1041,253,2310,348,3844,375,3.34,0.11,4.05,0.15,3.97,0.49,3.83,0.29,1.25,0.08,12084,518,8733,453,1041,253,2310,348,(X),(X),3.82,0.14,3.97,0.14,3.41,0.36,3.45,0.25,(X),(X),15928,435,8733,453,1041,253,2310,348,3844,375,41.0,2.4,50.3,3.6,63.1,11.6,63.4,6.9,0.3,0.5,39.9,2.2,38.9,3.3,29.4,10.0,36.4,6.6,47.3,5.1,19.7,2.1,(X),(X),(X),(X),(X),(X),81.7,4.8,8.3,1.4,(X),(X),(X),(X),(X),(X),34.4,5.3
