GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03
Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Margin of Error; Population 5 years and over,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Population 5 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Population 5 years and over","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Population 5 years and over",Total; Estimate; Speak only English,Total; Margin of Error; Speak only English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak only English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak only English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak only English",Total; Estimate; Speak a language other than English,Total; Margin of Error; Speak a language other than English,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Speak a language other than English","Percent of specified language speakers  - Speak English ""very well""; Margin of Error; Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English","Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English"
0400000US15,15,Hawaii,1259148,155,88.2,0.3,11.8,0.3,74.4,0.4,(X),(X),(X),(X),25.6,0.4,53.9,0.9,46.1,0.9
0500000US15001,15001,"Hawaii County, Hawaii",171335,90,93.7,0.6,6.3,0.6,80.5,1.2,(X),(X),(X),(X),19.5,1.2,67.6,2.7,32.4,2.7
0500000US15003,15003,"Honolulu County, Hawaii",882705,*****,86.3,0.4,13.7,0.4,71.8,0.5,(X),(X),(X),(X),28.2,0.5,51.3,1.1,48.7,1.1
0500000US15007,15007,"Kauai County, Hawaii",62080,43,93.0,0.8,7.0,0.8,78.8,1.5,(X),(X),(X),(X),21.2,1.5,67.2,3.5,32.8,3.5
0500000US15009,15009,"Maui County, Hawaii",142971,116,91.2,0.7,8.8,0.7,80.7,1.1,(X),(X),(X),(X),19.3,1.1,54.2,3.1,45.8,3.1
610U200US15001,15001,"State Senate District 1 (2010), Hawaii",55413,1828,94.1,0.9,5.9,0.9,81.7,1.8,(X),(X),(X),(X),18.3,1.8,68.0,4.8,32.0,4.8
610U200US15002,15002,"State Senate District 2 (2010), Hawaii",56386,1730,93.9,1.3,6.1,1.3,81.3,2.4,(X),(X),(X),(X),18.7,2.4,67.7,4.7,32.3,4.7
610U200US15003,15003,"State Senate District 3 (2010), Hawaii",59536,1798,93.1,1.3,6.9,1.3,78.8,2.3,(X),(X),(X),(X),21.2,2.3,67.3,4.5,32.7,4.5
610U200US15004,15004,"State Senate District 4 (2010), Hawaii",51145,1783,87.7,1.6,12.3,1.6,75.2,2.0,(X),(X),(X),(X),24.8,2.0,50.6,5.4,49.4,5.4
610U200US15005,15005,"State Senate District 5 (2010), Hawaii",44380,1373,90.4,1.4,9.6,1.4,80.2,2.2,(X),(X),(X),(X),19.8,2.2,51.5,3.8,48.5,3.8
610U200US15006,15006,"State Senate District 6 (2010), Hawaii",47503,1469,95.6,1.0,4.4,1.0,87.2,1.7,(X),(X),(X),(X),12.8,1.7,65.5,5.1,34.5,5.1
610U200US15007,15007,"State Senate District 7 (2010), Hawaii",62080,43,93.0,0.8,7.0,0.8,78.8,1.5,(X),(X),(X),(X),21.2,1.5,67.2,3.5,32.8,3.5
610U200US15008,15008,"State Senate District 8 (2010), Hawaii",44818,1126,92.7,0.9,7.3,0.9,79.7,1.6,(X),(X),(X),(X),20.3,1.6,63.9,3.8,36.1,3.8
610U200US15009,15009,"State Senate District 9 (2010), Hawaii",46061,1284,87.2,1.3,12.8,1.3,74.3,1.6,(X),(X),(X),(X),25.7,1.6,50.4,3.7,49.6,3.7
610U200US15010,15010,"State Senate District 10 (2010), Hawaii",45623,1550,85.6,2.3,14.4,2.3,70.3,2.7,(X),(X),(X),(X),29.7,2.7,51.6,5.1,48.4,5.1
610U200US15011,15011,"State Senate District 11 (2010), Hawaii",48131,1431,76.2,1.9,23.8,1.9,59.7,2.4,(X),(X),(X),(X),40.3,2.4,40.9,3.6,59.1,3.6
610U200US15012,15012,"State Senate District 12 (2010), Hawaii",49609,1874,73.0,1.9,27.0,1.9,52.6,2.2,(X),(X),(X),(X),47.4,2.2,43.1,2.9,56.9,2.9
610U200US15013,15013,"State Senate District 13 (2010), Hawaii",46495,1710,77.3,1.9,22.7,1.9,59.1,2.5,(X),(X),(X),(X),40.9,2.5,44.5,3.2,55.5,3.2
610U200US15014,15014,"State Senate District 14 (2010), Hawaii",45808,1742,80.1,1.8,19.9,1.8,57.4,2.3,(X),(X),(X),(X),42.6,2.3,53.2,3.5,46.8,3.5
610U200US15015,15015,"State Senate District 15 (2010), Hawaii",60292,1704,85.1,1.3,14.9,1.3,68.3,1.8,(X),(X),(X),(X),31.7,1.8,53.0,3.3,47.0,3.3
