GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Native:,Margin of Error; Native:,Estimate; Native: - Born in state of residence,Margin of Error; Native: - Born in state of residence,Estimate; Native: - Born in other state in the United States:,Margin of Error; Native: - Born in other state in the United States:,Estimate; Native: - Born in other state in the United States: - Northeast,Margin of Error; Native: - Born in other state in the United States: - Northeast,Estimate; Native: - Born in other state in the United States: - Midwest,Margin of Error; Native: - Born in other state in the United States: - Midwest,Estimate; Native: - Born in other state in the United States: - South,Margin of Error; Native: - Born in other state in the United States: - South,Estimate; Native: - Born in other state in the United States: - West,Margin of Error; Native: - Born in other state in the United States: - West,Estimate; Native: - Born outside the United States:,Margin of Error; Native: - Born outside the United States:,Estimate; Native: - Born outside the United States: - Puerto Rico,Margin of Error; Native: - Born outside the United States: - Puerto Rico,Estimate; Native: - Born outside the United States: - U.S. Island Areas,Margin of Error; Native: - Born outside the United States: - U.S. Island Areas,Estimate; Native: - Born outside the United States: - Born abroad of American parent(s),Margin of Error; Native: - Born outside the United States: - Born abroad of American parent(s),Estimate; Foreign born:,Margin of Error; Foreign born:,Estimate; Foreign born: - Naturalized U.S. citizen,Margin of Error; Foreign born: - Naturalized U.S. citizen,Estimate; Foreign born: - Not a U.S. citizen,Margin of Error; Foreign born: - Not a U.S. citizen
0400000US15,15,Hawaii,1346554,*****,1106464,4686,738779,5365,328466,2810,52938,1744,64218,2118,73296,2168,138014,2901,39219,1607,1830,433,12160,1113,25229,1201,240090,4686,135139,3066,104951,3305
0500000US15001,15001,"Hawaii County, Hawaii",182997,*****,161972,1777,105109,2107,53664,1363,8080,846,10877,812,7120,843,27587,1480,3199,623,75,63,749,257,2375,544,21025,1777,9507,980,11518,1432
0500000US15003,15003,"Honolulu County, Hawaii",944287,*****,759115,4072,513739,4443,212400,2199,34666,1416,41569,1523,57516,1792,78649,2112,32976,1393,1672,432,10888,1038,20416,904,185172,4072,106098,2664,79074,2818
0500000US15007,15007,"Kauai County, Hawaii",66306,*****,56427,880,37276,1050,18390,707,2905,354,2824,368,2883,438,9778,632,761,169,39,46,126,66,596,138,9879,880,5782,612,4097,728
0500000US15009,15009,"Maui County, Hawaii",152907,17,128909,1422,82645,1671,43987,1249,7283,694,8936,819,5775,553,21993,1142,2277,381,44,47,391,186,1842,330,23998,1419,13741,992,10257,1146
610U200US15001,15001,"State Senate District 1 (2010), Hawaii",58888,1943,52593,1922,38792,1710,12828,1004,1344,303,2988,436,1836,424,6660,772,973,273,11,18,365,183,597,195,6295,942,2978,428,3317,779
610U200US15002,15002,"State Senate District 2 (2010), Hawaii",60645,1818,54357,1774,36457,1650,16903,931,2979,569,2990,449,2545,575,8389,818,997,223,4,7,236,139,757,184,6288,1030,3419,709,2869,712
610U200US15003,15003,"State Senate District 3 (2010), Hawaii",63464,1981,55022,1909,29860,1701,23933,1133,3757,629,4899,518,2739,424,12538,983,1229,531,60,62,148,119,1021,483,8442,1171,3110,619,5332,1003
610U200US15004,15004,"State Senate District 4 (2010), Hawaii",54819,1871,44348,2031,36645,1794,6831,679,1081,311,1285,283,967,270,3498,435,872,228,7,12,77,59,788,225,10471,1014,6206,679,4265,719
