GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC03,Total; Estimate; Kindergarten to 12th grade
HC01_MOE_VC03,Total; Margin of Error; Kindergarten to 12th grade
HC02_EST_VC03,Percent of enrolled population  - In public school; Estimate; Kindergarten to 12th grade
HC02_MOE_VC03,Percent of enrolled population  - In public school; Margin of Error; Kindergarten to 12th grade
HC03_EST_VC03,Percent of enrolled population  - In private school; Estimate; Kindergarten to 12th grade
HC03_MOE_VC03,Percent of enrolled population  - In private school; Margin of Error; Kindergarten to 12th grade
HC01_EST_VC08,"Total; Estimate; College, undergraduate"
HC01_MOE_VC08,"Total; Margin of Error; College, undergraduate"
HC02_EST_VC08,"Percent of enrolled population  - In public school; Estimate; College, undergraduate"
HC02_MOE_VC08,"Percent of enrolled population  - In public school; Margin of Error; College, undergraduate"
HC03_EST_VC08,"Percent of enrolled population  - In private school; Estimate; College, undergraduate"
HC03_MOE_VC08,"Percent of enrolled population  - In private school; Margin of Error; College, undergraduate"
HC01_EST_VC09,"Total; Estimate; Graduate, professional school"
HC01_MOE_VC09,"Total; Margin of Error; Graduate, professional school"
HC02_EST_VC09,"Percent of enrolled population  - In public school; Estimate; Graduate, professional school"
HC02_MOE_VC09,"Percent of enrolled population  - In public school; Margin of Error; Graduate, professional school"
HC03_EST_VC09,"Percent of enrolled population  - In private school; Estimate; Graduate, professional school"
HC03_MOE_VC09,"Percent of enrolled population  - In private school; Margin of Error; Graduate, professional school"
HC01_EST_VC12,Total; Estimate; Percent of age group enrolled in school -- - 3 and 4 years
HC01_MOE_VC12,Total; Margin of Error; Percent of age group enrolled in school -- - 3 and 4 years
HC02_EST_VC12,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 3 and 4 years
HC02_MOE_VC12,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 3 and 4 years
HC03_EST_VC12,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 3 and 4 years
