GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33
Id,Id2,Geography,Total; Estimate; Kindergarten to 12th grade,Total; Margin of Error; Kindergarten to 12th grade,Percent of enrolled population  - In public school; Estimate; Kindergarten to 12th grade,Percent of enrolled population  - In public school; Margin of Error; Kindergarten to 12th grade,Percent of enrolled population  - In private school; Estimate; Kindergarten to 12th grade,Percent of enrolled population  - In private school; Margin of Error; Kindergarten to 12th grade,"Total; Estimate; College, undergraduate","Total; Margin of Error; College, undergraduate","Percent of enrolled population  - In public school; Estimate; College, undergraduate","Percent of enrolled population  - In public school; Margin of Error; College, undergraduate","Percent of enrolled population  - In private school; Estimate; College, undergraduate","Percent of enrolled population  - In private school; Margin of Error; College, undergraduate","Total; Estimate; Graduate, professional school","Total; Margin of Error; Graduate, professional school","Percent of enrolled population  - In public school; Estimate; Graduate, professional school","Percent of enrolled population  - In public school; Margin of Error; Graduate, professional school","Percent of enrolled population  - In private school; Estimate; Graduate, professional school","Percent of enrolled population  - In private school; Margin of Error; Graduate, professional school",Total; Estimate; Percent of age group enrolled in school -- - 3 and 4 years,Total; Margin of Error; Percent of age group enrolled in school -- - 3 and 4 years,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 3 and 4 years,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 3 and 4 years,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 3 and 4 years,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 3 and 4 years,Total; Estimate; Percent of age group enrolled in school -- - 5 to 9 years,Total; Margin of Error; Percent of age group enrolled in school -- - 5 to 9 years,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 5 to 9 years,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 5 to 9 years,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 5 to 9 years,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 5 to 9 years,Total; Estimate; Percent of age group enrolled in school -- - 10 to 14 years,Total; Margin of Error; Percent of age group enrolled in school -- - 10 to 14 years,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 10 to 14 years,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 10 to 14 years,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 10 to 14 years,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 10 to 14 years,Total; Estimate; Percent of age group enrolled in school -- - 15 to 17 years,Total; Margin of Error; Percent of age group enrolled in school -- - 15 to 17 years,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 15 to 17 years,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 15 to 17 years,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 15 to 17 years,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 15 to 17 years,Total; Estimate; Percent of age group enrolled in school -- - 18 and 19 years,Total; Margin of Error; Percent of age group enrolled in school -- - 18 and 19 years,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 18 and 19 years,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 18 and 19 years,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 18 and 19 years,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 18 and 19 years,Total; Estimate; Percent of age group enrolled in school -- - 20 to 24 years,Total; Margin of Error; Percent of age group enrolled in school -- - 20 to 24 years,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 20 to 24 years,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 20 to 24 years,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 20 to 24 years,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 20 to 24 years,Total; Estimate; Percent of age group enrolled in school -- - 25 to 34 years,Total; Margin of Error; Percent of age group enrolled in school -- - 25 to 34 years,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 25 to 34 years,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 25 to 34 years,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 25 to 34 years,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 25 to 34 years,Total; Estimate; Percent of age group enrolled in school -- - 35 years and over,Total; Margin of Error; Percent of age group enrolled in school -- - 35 years and over,Percent of enrolled population  - In public school; Estimate; Percent of age group enrolled in school -- - 35 years and over,Percent of enrolled population  - In public school; Margin of Error; Percent of age group enrolled in school -- - 35 years and over,Percent of enrolled population  - In private school; Estimate; Percent of age group enrolled in school -- - 35 years and over,Percent of enrolled population  - In private school; Margin of Error; Percent of age group enrolled in school -- - 35 years and over,Total; Estimate; Population 18 to 24 years,Total; Margin of Error; Population 18 to 24 years,Percent of enrolled population  - In public school; Estimate; Population 18 to 24 years,Percent of enrolled population  - In public school; Margin of Error; Population 18 to 24 years,Percent of enrolled population  - In private school; Estimate; Population 18 to 24 years,Percent of enrolled population  - In private school; Margin of Error; Population 18 to 24 years,Total; Estimate; Enrolled in college or graduate school,Total; Margin of Error; Enrolled in college or graduate school,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school,Total; Estimate; Enrolled in college or graduate school - Males 18 to 24 years,Total; Margin of Error; Enrolled in college or graduate school - Males 18 to 24 years,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school - Males 18 to 24 years,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school - Males 18 to 24 years,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school - Males 18 to 24 years,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school - Males 18 to 24 years,Total; Estimate; Enrolled in college or graduate school,Total; Margin of Error; Enrolled in college or graduate school,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school,Total; Estimate; Enrolled in college or graduate school - Females 18 to 24 years,Total; Margin of Error; Enrolled in college or graduate school - Females 18 to 24 years,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school - Females 18 to 24 years,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school - Females 18 to 24 years,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school - Females 18 to 24 years,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school - Females 18 to 24 years,Total; Estimate; Enrolled in college or graduate school,Total; Margin of Error; Enrolled in college or graduate school,Percent of enrolled population  - In public school; Estimate; Enrolled in college or graduate school,Percent of enrolled population  - In public school; Margin of Error; Enrolled in college or graduate school,Percent of enrolled population  - In private school; Estimate; Enrolled in college or graduate school,Percent of enrolled population  - In private school; Margin of Error; Enrolled in college or graduate school
0400000US15,15,Hawaii,217112,1202,81.1,0.7,18.9,0.7,78465,2278,74.3,1.5,25.7,1.5,16795,1068,62.9,2.4,37.1,2.4,54.1,1.9,40.6,2.5,59.4,2.5,95.8,0.6,83.2,1.1,16.8,1.1,98.0,0.4,79.1,1.0,20.9,1.0,95.0,0.7,79.4,1.1,20.6,1.1,62.7,2.0,75.2,2.4,24.8,2.4,35.0,1.3,76.8,2.3,23.2,2.3,15.2,0.7,71.8,2.3,28.2,2.3,3.2,0.1,67.4,2.1,32.6,2.1,129000,148,(X),(X),(X),(X),36.2,1.2,75.8,2.0,24.2,2.0,69563,100,(X),(X),(X),(X),29.4,1.4,79.8,2.5,20.2,2.5,59437,124,(X),(X),(X),(X),44.0,1.7,72.6,2.5,27.4,2.5
0500000US15001,15001,"Hawaii County, Hawaii",30844,490,83.6,2.0,16.4,2.0,8414,838,80.2,4.3,19.8,4.3,1331,332,63.6,10.3,36.4,10.3,49.7,5.5,50.0,8.5,50.0,8.5,96.0,1.9,83.8,3.3,16.2,3.3,98.5,0.9,81.7,3.1,18.3,3.1,96.1,1.6,85.1,2.7,14.9,2.7,62.6,5.3,81.0,6.5,19.0,6.5,34.4,4.7,81.6,5.9,18.4,5.9,8.4,2.0,85.7,6.8,14.3,6.8,2.7,0.4,67.7,7.5,32.3,7.5,15440,86,(X),(X),(X),(X),34.8,4.0,80.1,5.2,19.9,5.2,7868,60,(X),(X),(X),(X),26.1,4.7,80.8,9.5,19.2,9.5,7572,63,(X),(X),(X),(X),43.8,5.5,79.7,5.7,20.3,5.7
0500000US15003,15003,"Honolulu County, Hawaii",150015,910,79.5,0.8,20.5,0.8,61753,1730,72.4,1.9,27.6,1.9,13877,966,61.8,2.8,38.2,2.8,54.6,2.5,38.5,3.1,61.5,3.1,95.9,0.7,81.9,1.3,18.1,1.3,98.0,0.5,78.0,1.2,22.0,1.2,95.1,0.8,76.3,1.5,23.7,1.5,64.7,2.4,72.7,3.1,27.3,3.1,37.1,1.4,75.1,2.7,24.9,2.7,17.5,0.9,69.5,2.5,30.5,2.5,3.3,0.2,66.0,2.3,34.0,2.3,96802,*****,(X),(X),(X),(X),38.4,1.2,73.9,2.4,26.1,2.4,53015,*****,(X),(X),(X),(X),31.7,1.4,78.7,3.0,21.3,3.0,43787,*****,(X),(X),(X),(X),46.5,1.9,70.0,3.0,30.0,3.0
0500000US15007,15007,"Kauai County, Hawaii",10776,278,89.7,2.3,10.3,2.3,2582,406,87.1,4.6,12.9,4.6,381,122,64.8,16.4,35.2,16.4,53.5,9.0,51.6,11.0,48.4,11.0,96.3,1.7,89.7,2.8,10.3,2.8,96.9,1.7,87.5,4.0,12.5,4.0,89.1,4.2,91.9,4.1,8.1,4.1,51.7,9.1,91.5,5.9,8.5,5.9,26.1,5.9,89.0,6.8,11.0,6.8,9.9,2.9,80.0,11.1,20.0,11.1,2.7,0.6,78.9,8.4,21.1,8.4,5090,107,(X),(X),(X),(X),26.4,4.7,91.1,5.4,8.9,5.4,2662,65,(X),(X),(X),(X),18.6,5.9,95.8,5.0,4.2,5.0,2428,88,(X),(X),(X),(X),34.9,6.8,88.3,8.1,11.7,8.1
0500000US15009,15009,"Maui County, Hawaii",25477,451,84.1,1.9,15.9,1.9,5713,611,81.5,4.8,18.5,4.8,1205,312,73.4,11.2,26.6,11.2,56.7,6.2,37.9,7.3,62.1,7.3,94.6,2.7,87.5,3.5,12.5,3.5,98.3,1.0,79.1,2.8,20.9,2.8,95.7,1.7,85.0,3.6,15.0,3.6,52.2,8.1,81.2,7.1,18.8,7.1,21.6,3.6,86.9,7.1,13.1,7.1,9.6,1.6,83.9,7.5,16.1,7.5,3.0,0.4,71.6,8.6,28.4,8.6,11668,83,(X),(X),(X),(X),23.4,3.0,84.5,6.3,15.5,6.3,6018,56,(X),(X),(X),(X),18.1,4.0,88.7,6.6,11.3,6.6,5650,48,(X),(X),(X),(X),28.9,4.7,81.7,8.4,18.3,8.4
610U200US15001,15001,"State Senate District 1 (2010), Hawaii",9821,766,77.6,4.5,22.4,4.5,4812,733,81.6,6.2,18.4,6.2,371,127,64.4,17.2,35.6,17.2,48.3,11.1,45.3,15.3,54.7,15.3,98.5,1.2,75.1,8.2,24.9,8.2,99.4,0.6,73.7,6.9,26.3,6.9,97.0,1.9,83.2,6.0,16.8,6.0,76.7,7.1,77.2,10.5,22.8,10.5,50.1,7.5,82.1,8.1,17.9,8.1,13.3,5.2,94.3,5.2,5.7,5.2,3.1,0.8,73.0,11.4,27.0,11.4,6454,629,(X),(X),(X),(X),51.1,6.0,79.3,7.6,20.7,7.6,3470,409,(X),(X),(X),(X),39.4,7.6,75.4,13.6,24.6,13.6,2984,391,(X),(X),(X),(X),64.8,7.8,82.0,7.8,18.0,7.8
610U200US15002,15002,"State Senate District 2 (2010), Hawaii",10808,890,86.2,2.6,13.8,2.6,2537,389,87.2,4.8,12.8,4.8,590,270,76.1,15.7,23.9,15.7,50.8,9.8,47.0,16.1,53.0,16.1,93.9,3.5,87.8,3.9,12.2,3.9,97.5,2.0,88.2,3.5,11.8,3.5,95.5,3.4,86.0,4.9,14.0,4.9,65.5,9.1,82.2,10.0,17.8,10.0,33.3,7.9,90.0,6.2,10.0,6.2,9.2,2.4,83.5,10.4,16.5,10.4,3.3,0.9,76.1,12.5,23.9,12.5,4456,461,(X),(X),(X),(X),33.8,6.3,88.7,5.8,11.3,5.8,2062,302,(X),(X),(X),(X),23.6,5.8,92.2,6.7,7.8,6.7,2394,355,(X),(X),(X),(X),42.6,9.2,87.0,8.3,13.0,8.3
610U200US15003,15003,"State Senate District 3 (2010), Hawaii",10215,755,86.5,3.4,13.5,3.4,1065,239,57.1,11.3,42.9,11.3,370,125,43.0,17.6,57.0,17.6,49.9,9.4,56.7,13.6,43.3,13.6,96.1,3.2,87.8,5.0,12.2,5.0,98.5,1.9,83.1,5.0,16.9,5.0,95.9,2.4,85.9,4.5,14.1,4.5,38.7,10.3,90.5,8.4,9.5,8.4,13.5,4.9,59.0,18.3,41.0,18.3,3.0,1.7,55.9,22.6,44.1,22.6,1.9,0.5,46.9,13.8,53.1,13.8,4530,583,(X),(X),(X),(X),12.6,3.8,62.4,15.1,37.6,15.1,2336,380,(X),(X),(X),(X),8.8,4.1,89.8,15.1,10.2,15.1,2194,379,(X),(X),(X),(X),16.6,6.6,47.0,19.9,53.0,19.9
610U200US15004,15004,"State Senate District 4 (2010), Hawaii",10252,814,84.9,3.1,15.1,3.1,2241,357,81.3,7.3,18.7,7.3,564,200,75.5,15.2,24.5,15.2,57.7,10.3,38.2,11.5,61.8,11.5,95.8,2.8,83.8,5.7,16.2,5.7,98.7,1.6,84.2,4.5,15.8,4.5,97.1,2.8,87.4,5.0,12.6,5.0,55.8,10.6,75.9,11.0,24.1,11.0,21.2,5.8,87.7,7.0,12.3,7.0,11.7,2.7,80.0,13.3,20.0,13.3,3.8,0.7,72.7,10.2,27.3,10.2,4689,447,(X),(X),(X),(X),23.5,4.9,83.4,8.2,16.6,8.2,2405,297,(X),(X),(X),(X),20.0,6.5,84.4,10.7,15.6,10.7,2284,293,(X),(X),(X),(X),27.3,8.2,82.7,11.5,17.3,11.5
