GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC07,Total; Estimate; Population 25 years and over
HC01_MOE_VC07,Total; Margin of Error; Population 25 years and over
HC01_EST_VC08,Total; Estimate; Less than 9th grade
HC01_MOE_VC08,Total; Margin of Error; Less than 9th grade
HC01_EST_VC09,"Total; Estimate; 9th to 12th grade, no diploma"
HC01_MOE_VC09,"Total; Margin of Error; 9th to 12th grade, no diploma"
HC01_EST_VC10,Total; Estimate; High school graduate (includes equivalency)
HC01_MOE_VC10,Total; Margin of Error; High school graduate (includes equivalency)
HC01_EST_VC11,"Total; Estimate; Some college, no degree"
HC01_MOE_VC11,"Total; Margin of Error; Some college, no degree"
HC01_EST_VC12,Total; Estimate; Associate's degree
HC01_MOE_VC12,Total; Margin of Error; Associate's degree
HC01_EST_VC13,Total; Estimate; Bachelor's degree
HC01_MOE_VC13,Total; Margin of Error; Bachelor's degree
HC01_EST_VC14,Total; Estimate; Graduate or professional degree
HC01_MOE_VC14,Total; Margin of Error; Graduate or professional degree
HC01_EST_VC16,Total; Estimate; Percent high school graduate or higher
HC01_MOE_VC16,Total; Margin of Error; Percent high school graduate or higher
HC01_EST_VC17,Total; Estimate; Percent bachelor's degree or higher
HC01_MOE_VC17,Total; Margin of Error; Percent bachelor's degree or higher
HC01_EST_VC44,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings
HC01_MOE_VC44,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings
HC01_EST_VC45,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate
HC01_MOE_VC45,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate
HC01_EST_VC46,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency)
HC01_MOE_VC46,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency)
HC01_EST_VC47,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree
HC01_MOE_VC47,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree
HC01_EST_VC48,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree
HC01_MOE_VC48,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree
HC01_EST_VC49,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree
HC01_MOE_VC49,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree
