GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC44,HC01_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Total; Estimate; Less than 9th grade,Total; Margin of Error; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma","Total; Margin of Error; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),Total; Margin of Error; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree","Total; Margin of Error; Some college, no degree",Total; Estimate; Associate's degree,Total; Margin of Error; Associate's degree,Total; Estimate; Bachelor's degree,Total; Margin of Error; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Margin of Error; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Margin of Error; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Margin of Error; Percent bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree
0400000US15,15,Hawaii,915429,152,4.7,0.2,5.2,0.2,28.7,0.4,22.1,0.3,9.8,0.2,19.6,0.3,9.9,0.2,90.1,0.2,29.5,0.4,36694,345,21848,706,30161,339,35744,457,45904,816,60669,1024
0500000US15001,15001,"Hawaii County, Hawaii",125635,88,3.3,0.4,5.9,0.5,31.7,1.2,22.3,1.1,11.0,0.7,17.5,0.8,8.4,0.6,90.9,0.7,25.9,1.0,31214,618,20013,1879,26953,880,31057,880,41636,1615,51294,2325
0500000US15003,15003,"Honolulu County, Hawaii",637827,*****,4.8,0.2,5.0,0.2,27.6,0.4,21.7,0.3,9.7,0.3,20.5,0.3,10.7,0.3,90.3,0.3,31.2,0.5,38555,420,21580,845,30400,366,37144,486,47515,1028,63350,1309
0500000US15007,15007,"Kauai County, Hawaii",46161,102,6.3,0.6,5.2,0.8,28.5,1.7,24.1,1.4,11.5,1.1,17.1,1.3,7.2,0.8,88.5,1.0,24.3,1.3,33862,1068,20376,3977,30507,1070,34134,1525,41665,1653,50352,4204
0500000US15009,15009,"Maui County, Hawaii",105749,83,4.9,0.5,5.9,0.6,31.3,1.3,23.7,1.0,8.5,0.6,17.3,1.0,8.4,0.7,89.2,0.7,25.7,1.2,34238,1037,25993,2937,31128,858,32960,1816,42740,2095,51968,2157
610U200US15001,15001,"State Senate District 1 (2010), Hawaii",39465,1239,3.7,0.7,5.9,0.8,31.5,1.6,20.5,1.5,11.8,1.5,18.3,1.4,8.3,1.0,90.4,1.1,26.6,1.6,31811,1090,21531,2314,25958,1712,30250,2121,43061,3740,61442,10777
610U200US15002,15002,"State Senate District 2 (2010), Hawaii",41329,1042,3.8,0.6,6.7,0.9,31.3,2.1,22.1,1.6,11.6,1.2,15.7,1.5,8.9,1.3,89.5,1.2,24.5,2.0,29366,1913,17526,2548,25990,2119,29536,2507,37844,4437,42333,8752
610U200US15003,15003,"State Senate District 3 (2010), Hawaii",44841,1207,2.4,0.7,5.0,0.9,32.4,2.1,23.9,1.9,9.7,1.3,18.5,1.4,7.9,0.9,92.6,1.2,26.5,1.7,32007,1026,19986,3433,28402,2351,33212,1840,43050,2981,50646,4539
610U200US15004,15004,"State Senate District 4 (2010), Hawaii",36471,1210,6.9,1.1,6.7,1.1,37.0,2.2,20.6,1.5,8.4,1.3,13.4,1.4,7.1,1.1,86.4,1.5,20.5,1.8,33078,1593,23731,5777,31081,1414,33101,2591,40989,2642,58750,4833
610U200US15005,15005,"State Senate District 5 (2010), Hawaii",34500,1080,3.7,0.7,5.8,1.0,27.5,2.3,26.1,2.2,7.8,1.1,21.2,1.7,7.9,1.0,90.5,1.0,29.2,2.2,34219,1892,23508,2092,29620,2556,36611,2903,44399,5535,50163,5328
610U200US15006,15006,"State Senate District 6 (2010), Hawaii",34835,981,3.9,0.8,5.2,0.8,29.3,2.0,24.5,1.8,9.5,1.4,17.4,1.8,10.2,1.2,90.9,1.1,27.6,2.1,35981,2217,34229,8565,33704,2332,31215,1409,43263,2380,50012,5835
610U200US15007,15007,"State Senate District 7 (2010), Hawaii",46161,102,6.3,0.6,5.2,0.8,28.5,1.7,24.1,1.4,11.5,1.1,17.1,1.3,7.2,0.8,88.5,1.0,24.3,1.3,33862,1068,20376,3977,30507,1070,34134,1525,41665,1653,50352,4204
610U200US15008,15008,"State Senate District 8 (2010), Hawaii",35155,760,1.6,0.4,2.1,0.5,17.5,1.5,18.2,1.4,7.8,1.0,29.9,1.6,23.0,1.5,96.3,0.7,52.9,2.0,49899,1527,41136,10726,30399,3168,39351,2389,51224,3203,75233,4321
610U200US15009,15009,"State Senate District 9 (2010), Hawaii",36292,909,4.1,0.8,3.8,0.7,27.7,1.7,18.8,1.0,8.7,1.0,23.7,1.8,13.2,1.2,92.0,1.2,36.9,1.9,39268,1304,21848,3871,32196,2025,33391,1771,44953,2508,59765,2640
610U200US15010,15010,"State Senate District 10 (2010), Hawaii",33981,1247,2.0,0.6,4.3,0.8,22.9,1.7,19.8,1.8,8.2,1.2,26.0,1.8,16.8,1.9,93.7,0.9,42.7,2.3,38081,1970,11741,6327,30161,1623,32718,3046,43505,3002,60585,5987
610U200US15011,15011,"State Senate District 11 (2010), Hawaii",38414,966,4.9,1.0,6.3,0.9,26.1,1.7,20.0,1.5,8.6,0.9,21.5,1.8,12.7,1.2,88.9,1.4,34.1,2.0,37054,1454,21712,5224,30658,2254,35855,2002,41004,1600,52594,2757
610U200US15012,15012,"State Senate District 12 (2010), Hawaii",39719,1370,6.8,0.8,5.8,1.0,22.7,1.5,19.8,1.5,8.1,1.0,22.0,1.5,14.7,1.3,87.3,1.4,36.7,1.9,32433,1212,16614,1346,26840,2512,30686,1661,42482,5333,58372,6214
610U200US15013,15013,"State Senate District 13 (2010), Hawaii",35726,1262,10.5,1.2,6.7,1.0,28.6,1.9,16.2,1.4,7.3,1.0,20.2,1.5,10.5,1.3,82.8,1.6,30.6,1.8,33584,1659,20422,2273,27236,1326,31646,1703,46617,4882,59784,5322
