GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC04,Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC02_VC04,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over
HC03_VC04,Percent; EMPLOYMENT STATUS - Population 16 years and over
HC04_VC04,Percent Margin of Error; EMPLOYMENT STATUS - Population 16 years and over
HC01_VC05,Estimate; EMPLOYMENT STATUS - In labor force
HC02_VC05,Margin of Error; EMPLOYMENT STATUS - In labor force
HC03_VC05,Percent; EMPLOYMENT STATUS - In labor force
HC04_VC05,Percent Margin of Error; EMPLOYMENT STATUS - In labor force
HC01_VC06,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force
HC02_VC06,Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force
HC03_VC06,Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force
HC04_VC06,Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force
HC01_VC07,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
HC02_VC07,Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
HC03_VC07,Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
HC04_VC07,Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Employed
HC01_VC08,Estimate; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
HC02_VC08,Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
HC03_VC08,Percent; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
HC04_VC08,Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Civilian labor force - Unemployed
HC01_VC09,Estimate; EMPLOYMENT STATUS - In labor force - Armed Forces
HC02_VC09,Margin of Error; EMPLOYMENT STATUS - In labor force - Armed Forces
HC03_VC09,Percent; EMPLOYMENT STATUS - In labor force - Armed Forces
HC04_VC09,Percent Margin of Error; EMPLOYMENT STATUS - In labor force - Armed Forces
HC01_VC10,Estimate; EMPLOYMENT STATUS - Not in labor force
HC02_VC10,Margin of Error; EMPLOYMENT STATUS - Not in labor force
HC03_VC10,Percent; EMPLOYMENT STATUS - Not in labor force
HC04_VC10,Percent Margin of Error; EMPLOYMENT STATUS - Not in labor force
HC01_VC12,Estimate; EMPLOYMENT STATUS - Civilian labor force
HC02_VC12,Margin of Error; EMPLOYMENT STATUS - Civilian labor force
HC03_VC12,Percent; EMPLOYMENT STATUS - Civilian labor force
HC04_VC12,Percent Margin of Error; EMPLOYMENT STATUS - Civilian labor force
HC01_VC13,Estimate; EMPLOYMENT STATUS - Percent Unemployed
HC02_VC13,Margin of Error; EMPLOYMENT STATUS - Percent Unemployed
HC03_VC13,Percent; EMPLOYMENT STATUS - Percent Unemployed
HC04_VC13,Percent Margin of Error; EMPLOYMENT STATUS - Percent Unemployed
HC01_VC40,Estimate; OCCUPATION - Civilian employed population 16 years and over
HC02_VC40,Margin of Error; OCCUPATION - Civilian employed population 16 years and over
HC03_VC40,Percent; OCCUPATION - Civilian employed population 16 years and over
HC04_VC40,Percent Margin of Error; OCCUPATION - Civilian employed population 16 years and over
HC01_VC41,"Estimate; OCCUPATION - Management, business, science, and arts occupations"
HC02_VC41,"Margin of Error; OCCUPATION - Management, business, science, and arts occupations"
HC03_VC41,"Percent; OCCUPATION - Management, business, science, and arts occupations"
HC04_VC41,"Percent Margin of Error; OCCUPATION - Management, business, science, and arts occupations"
HC01_VC42,Estimate; OCCUPATION - Service occupations
HC02_VC42,Margin of Error; OCCUPATION - Service occupations
HC03_VC42,Percent; OCCUPATION - Service occupations
HC04_VC42,Percent Margin of Error; OCCUPATION - Service occupations
HC01_VC43,Estimate; OCCUPATION - Sales and office occupations
HC02_VC43,Margin of Error; OCCUPATION - Sales and office occupations
HC03_VC43,Percent; OCCUPATION - Sales and office occupations
HC04_VC43,Percent Margin of Error; OCCUPATION - Sales and office occupations
HC01_VC44,"Estimate; OCCUPATION - Natural resources, construction, and maintenance occupations"
HC02_VC44,"Margin of Error; OCCUPATION - Natural resources, construction, and maintenance occupations"
HC03_VC44,"Percent; OCCUPATION - Natural resources, construction, and maintenance occupations"
HC04_VC44,"Percent Margin of Error; OCCUPATION - Natural resources, construction, and maintenance occupations"
HC01_VC45,"Estimate; OCCUPATION - Production, transportation, and material moving occupations"
HC02_VC45,"Margin of Error; OCCUPATION - Production, transportation, and material moving occupations"
HC03_VC45,"Percent; OCCUPATION - Production, transportation, and material moving occupations"
HC04_VC45,"Percent Margin of Error; OCCUPATION - Production, transportation, and material moving occupations"
HC01_VC49,Estimate; INDUSTRY - Civilian employed population 16 years and over
HC02_VC49,Margin of Error; INDUSTRY - Civilian employed population 16 years and over
HC03_VC49,Percent; INDUSTRY - Civilian employed population 16 years and over
HC04_VC49,Percent Margin of Error; INDUSTRY - Civilian employed population 16 years and over
HC01_VC50,"Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC02_VC50,"Margin of Error; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC03_VC50,"Percent; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC04_VC50,"Percent Margin of Error; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC01_VC51,Estimate; INDUSTRY - Construction
HC02_VC51,Margin of Error; INDUSTRY - Construction
HC03_VC51,Percent; INDUSTRY - Construction
HC04_VC51,Percent Margin of Error; INDUSTRY - Construction
HC01_VC52,Estimate; INDUSTRY - Manufacturing
HC02_VC52,Margin of Error; INDUSTRY - Manufacturing
HC03_VC52,Percent; INDUSTRY - Manufacturing
HC04_VC52,Percent Margin of Error; INDUSTRY - Manufacturing
HC01_VC53,Estimate; INDUSTRY - Wholesale trade
HC02_VC53,Margin of Error; INDUSTRY - Wholesale trade
HC03_VC53,Percent; INDUSTRY - Wholesale trade
HC04_VC53,Percent Margin of Error; INDUSTRY - Wholesale trade
HC01_VC54,Estimate; INDUSTRY - Retail trade
HC02_VC54,Margin of Error; INDUSTRY - Retail trade
HC03_VC54,Percent; INDUSTRY - Retail trade
HC04_VC54,Percent Margin of Error; INDUSTRY - Retail trade
HC01_VC55,"Estimate; INDUSTRY - Transportation and warehousing, and utilities"
HC02_VC55,"Margin of Error; INDUSTRY - Transportation and warehousing, and utilities"
HC03_VC55,"Percent; INDUSTRY - Transportation and warehousing, and utilities"
HC04_VC55,"Percent Margin of Error; INDUSTRY - Transportation and warehousing, and utilities"
HC01_VC56,Estimate; INDUSTRY - Information
HC02_VC56,Margin of Error; INDUSTRY - Information
HC03_VC56,Percent; INDUSTRY - Information
HC04_VC56,Percent Margin of Error; INDUSTRY - Information
HC01_VC57,"Estimate; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
HC02_VC57,"Margin of Error; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
HC03_VC57,"Percent; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
HC04_VC57,"Percent Margin of Error; INDUSTRY - Finance and insurance, and real estate and rental and leasing"
HC01_VC58,"Estimate; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC02_VC58,"Margin of Error; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC03_VC58,"Percent; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC04_VC58,"Percent Margin of Error; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC01_VC59,"Estimate; INDUSTRY - Educational services, and health care and social assistance"
HC02_VC59,"Margin of Error; INDUSTRY - Educational services, and health care and social assistance"
HC03_VC59,"Percent; INDUSTRY - Educational services, and health care and social assistance"
HC04_VC59,"Percent Margin of Error; INDUSTRY - Educational services, and health care and social assistance"
