GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Workers 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Workers 16 years and over
HC01_EST_VC03,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC01_MOE_VC03,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van"
HC01_EST_VC04,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC01_MOE_VC04,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone"
HC01_EST_VC05,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC01_MOE_VC05,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled"
HC01_EST_VC06,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC01_MOE_VC06,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool"
HC01_EST_VC07,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC01_MOE_VC07,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool"
HC01_EST_VC08,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC01_MOE_VC08,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool"
HC01_EST_VC09,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC01_MOE_VC09,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van"
HC01_EST_VC10,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC01_MOE_VC10,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab)
HC01_EST_VC11,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked
HC01_MOE_VC11,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked
HC01_EST_VC12,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC01_MOE_VC12,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle
HC01_EST_VC13,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC01_MOE_VC13,"Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means"
HC01_EST_VC14,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC01_MOE_VC14,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home
HC01_EST_VC32,Total; Estimate; Workers 16 years and over who did not work at home
HC01_MOE_VC32,Total; Margin of Error; Workers 16 years and over who did not work at home
HC01_EST_VC34,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.
HC01_MOE_VC34,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.
HC01_EST_VC35,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.
HC01_MOE_VC35,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.
HC01_EST_VC36,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.
HC01_MOE_VC36,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.
HC01_EST_VC37,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.
HC01_MOE_VC37,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.
HC01_EST_VC38,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.
HC01_MOE_VC38,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.
HC01_EST_VC39,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.
HC01_MOE_VC39,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.
HC01_EST_VC40,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.
HC01_MOE_VC40,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.
HC01_EST_VC41,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.
HC01_MOE_VC41,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.
HC01_EST_VC42,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.
HC01_MOE_VC42,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.
HC01_EST_VC43,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.
HC01_MOE_VC43,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.
HC01_EST_VC46,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes
HC01_MOE_VC46,Total; Margin of Error; TRAVEL TIME TO WORK - Less than 10 minutes
HC01_EST_VC47,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes
HC01_MOE_VC47,Total; Margin of Error; TRAVEL TIME TO WORK - 10 to 14 minutes
HC01_EST_VC48,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes
HC01_MOE_VC48,Total; Margin of Error; TRAVEL TIME TO WORK - 15 to 19 minutes
HC01_EST_VC49,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes
HC01_MOE_VC49,Total; Margin of Error; TRAVEL TIME TO WORK - 20 to 24 minutes
HC01_EST_VC50,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes
HC01_MOE_VC50,Total; Margin of Error; TRAVEL TIME TO WORK - 25 to 29 minutes
HC01_EST_VC51,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes
HC01_MOE_VC51,Total; Margin of Error; TRAVEL TIME TO WORK - 30 to 34 minutes
HC01_EST_VC52,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes
HC01_MOE_VC52,Total; Margin of Error; TRAVEL TIME TO WORK - 35 to 44 minutes
HC01_EST_VC53,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes
HC01_MOE_VC53,Total; Margin of Error; TRAVEL TIME TO WORK - 45 to 59 minutes
HC01_EST_VC54,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes
HC01_MOE_VC54,Total; Margin of Error; TRAVEL TIME TO WORK - 60 or more minutes
HC01_EST_VC55,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes)
HC01_MOE_VC55,Total; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes)
HC01_EST_VC59,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households
HC01_MOE_VC59,Total; Margin of Error; VEHICLES AVAILABLE - Workers 16 years and over in households
HC01_EST_VC60,Total; Estimate; VEHICLES AVAILABLE - No vehicle available
HC01_MOE_VC60,Total; Margin of Error; VEHICLES AVAILABLE - No vehicle available
HC01_EST_VC61,Total; Estimate; VEHICLES AVAILABLE - 1 vehicle available
HC01_MOE_VC61,Total; Margin of Error; VEHICLES AVAILABLE - 1 vehicle available
HC01_EST_VC62,Total; Estimate; VEHICLES AVAILABLE - 2 vehicles available
HC01_MOE_VC62,Total; Margin of Error; VEHICLES AVAILABLE - 2 vehicles available
HC01_EST_VC63,Total; Estimate; VEHICLES AVAILABLE - 3 or more vehicles available
HC01_MOE_VC63,Total; Margin of Error; VEHICLES AVAILABLE - 3 or more vehicles available
