GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63
Id,Id2,Geography,Total; Estimate; Workers 16 years and over,Total; Margin of Error; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; Workers 16 years and over who did not work at home,Total; Margin of Error; Workers 16 years and over who did not work at home,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Estimate; TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,Total; Margin of Error; TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households,Total; Margin of Error; VEHICLES AVAILABLE - Workers 16 years and over in households,Total; Estimate; VEHICLES AVAILABLE - No vehicle available,Total; Margin of Error; VEHICLES AVAILABLE - No vehicle available,Total; Estimate; VEHICLES AVAILABLE - 1 vehicle available,Total; Margin of Error; VEHICLES AVAILABLE - 1 vehicle available,Total; Estimate; VEHICLES AVAILABLE - 2 vehicles available,Total; Margin of Error; VEHICLES AVAILABLE - 2 vehicles available,Total; Estimate; VEHICLES AVAILABLE - 3 or more vehicles available,Total; Margin of Error; VEHICLES AVAILABLE - 3 or more vehicles available
0400000US15,15,Hawaii,658272,3100,81.5,0.4,66.6,0.5,15.0,0.4,11.1,0.4,2.3,0.2,1.6,0.1,1.11,0.01,6.1,0.3,4.6,0.2,0.8,0.1,2.2,0.1,4.7,0.2,627280,3326,6.4,0.2,6.1,0.3,7.8,0.2,11.6,0.3,11.9,0.3,14.3,0.3,8.7,0.3,7.6,0.2,3.8,0.2,21.7,0.4,12.3,0.3,13.3,0.4,14.0,0.4,14.3,0.4,5.0,0.2,18.2,0.4,6.3,0.2,8.6,0.3,8.0,0.3,25.9,0.2,640373,3116,3.5,0.2,21.8,0.4,37.6,0.6,37.1,0.6
0500000US15001,15001,"Hawaii County, Hawaii",81580,1388,85.1,0.9,69.0,1.2,16.1,1.1,11.4,0.9,2.8,0.7,1.8,0.5,1.12,0.01,1.6,0.4,2.5,0.5,0.5,0.2,1.7,0.4,8.7,0.8,74502,1288,6.6,0.7,4.5,0.7,6.0,0.8,9.6,0.9,13.3,1.0,18.0,1.2,11.4,1.0,7.0,0.7,3.7,0.5,19.9,1.3,16.0,1.0,17.8,1.2,15.3,0.9,12.1,1.1,3.8,0.5,12.5,1.1,5.5,0.7,7.1,0.8,9.8,1.0,26.0,0.8,81163,1404,1.5,0.4,20.3,1.4,41.1,1.7,37.1,1.9
0500000US15003,15003,"Honolulu County, Hawaii",469421,2466,79.9,0.5,64.8,0.6,15.1,0.4,11.3,0.4,2.3,0.2,1.5,0.1,1.12,0.01,7.9,0.3,5.3,0.3,0.9,0.1,2.3,0.2,3.6,0.2,452420,2713,6.7,0.3,6.9,0.3,8.7,0.3,12.4,0.4,11.5,0.4,13.3,0.4,7.9,0.3,7.5,0.3,3.7,0.2,21.4,0.4,9.7,0.4,11.5,0.4,13.6,0.4,14.9,0.4,5.3,0.3,20.3,0.4,6.9,0.2,9.3,0.3,8.5,0.3,27.1,0.2,452296,2497,4.2,0.3,23.1,0.5,36.9,0.8,35.8,0.7
0500000US15007,15007,"Kauai County, Hawaii",31289,728,90.0,1.3,77.6,2.0,12.4,1.5,9.5,1.3,2.4,0.6,0.5,0.2,1.08,0.01,0.5,0.3,2.4,0.6,0.6,0.3,1.7,0.5,4.7,0.9,29816,739,4.6,0.8,3.2,0.7,5.1,0.7,8.6,1.1,11.9,1.3,16.1,1.4,11.4,1.1,10.0,1.4,4.9,1.0,24.2,1.7,22.1,1.8,16.1,1.5,15.1,1.7,12.8,1.6,4.7,0.7,15.8,1.6,3.2,0.7,7.5,1.1,2.6,0.6,20.0,0.6,31193,719,0.9,0.4,14.7,1.5,37.8,2.1,46.6,2.4
0500000US15009,15009,"Maui County, Hawaii",75936,1227,84.5,1.2,70.2,1.6,14.3,1.2,10.0,1.0,1.7,0.4,2.5,0.7,1.11,0.01,2.2,0.5,3.5,0.5,0.7,0.2,1.9,0.4,7.2,1.0,70504,1279,5.0,0.7,3.7,0.7,5.3,0.7,9.7,0.9,13.3,1.0,16.0,1.2,10.1,1.0,7.6,0.8,4.2,0.6,25.2,1.5,21.2,1.6,18.5,1.1,14.8,1.1,12.8,1.2,4.2,0.6,12.3,1.2,4.8,0.6,6.4,0.8,4.9,0.7,21.0,0.6,75675,1239,2.3,0.7,18.6,1.5,38.5,1.8,40.5,1.9
610U200US15001,15001,"State Senate District 1 (2010), Hawaii",25466,1133,83.7,2.0,66.6,2.4,17.1,2.0,12.1,1.7,3.0,1.2,1.9,0.8,1.13,0.02,2.9,0.9,3.3,0.9,1.0,0.5,0.9,0.6,8.2,1.3,23381,991,5.2,0.8,4.1,1.1,7.0,1.5,9.8,1.7,12.8,2.0,18.2,1.7,12.7,1.7,6.6,1.3,3.1,1.0,20.5,2.4,19.9,2.3,20.9,2.1,16.5,1.6,8.0,1.0,3.0,0.9,9.5,1.4,4.0,1.1,7.0,1.3,11.4,1.8,25.0,1.5,25103,1100,2.0,0.7,23.3,2.8,37.3,3.0,37.4,3.1
610U200US15002,15002,"State Senate District 2 (2010), Hawaii",24141,1177,86.4,1.7,70.4,2.2,16.0,1.8,10.9,1.5,2.8,0.8,2.4,0.8,1.12,0.02,2.0,0.8,1.5,0.5,0.2,0.2,1.4,0.5,8.4,1.4,22117,1115,9.2,1.5,4.7,0.9,6.3,1.1,10.1,1.6,16.5,1.8,19.3,2.3,9.2,1.6,5.1,1.0,3.8,1.0,15.7,1.7,11.5,1.6,13.8,1.7,15.5,1.7,13.9,1.8,4.4,0.8,15.1,2.5,6.1,1.1,6.6,1.3,13.1,1.8,30.3,1.6,24118,1178,0.9,0.5,15.9,2.1,46.3,3.4,37.0,3.5
610U200US15003,15003,"State Senate District 3 (2010), Hawaii",31973,1296,85.1,1.6,69.8,2.4,15.3,2.2,11.3,1.7,2.7,1.2,1.3,0.9,1.11,0.02,0.2,0.1,2.6,0.7,0.2,0.3,2.5,0.7,9.3,1.4,29004,1227,5.9,1.1,4.7,1.4,5.1,1.1,9.1,1.4,11.2,1.6,16.9,2.1,11.9,1.6,8.7,1.3,4.1,0.8,22.5,1.9,16.3,2.1,18.3,2.0,14.2,1.6,14.2,2.0,4.0,0.9,13.1,2.0,6.3,1.2,7.6,1.4,5.9,1.5,23.5,1.2,31942,1293,1.5,0.6,21.3,2.5,40.2,2.8,37.0,3.3
610U200US15004,15004,"State Senate District 4 (2010), Hawaii",26093,1194,88.0,1.8,69.7,2.3,18.2,2.0,12.6,1.9,2.0,0.7,3.6,1.1,1.14,0.02,2.9,0.8,2.8,0.9,0.4,0.3,2.0,0.6,4.0,1.1,25061,1242,5.7,1.2,4.8,1.4,5.6,1.2,8.6,1.5,14.0,1.4,17.1,2.0,12.5,1.8,5.3,1.0,3.0,0.9,23.4,2.3,21.3,2.4,22.8,2.1,17.4,1.8,9.5,1.6,2.6,0.7,9.7,1.6,4.5,1.0,7.5,1.6,4.5,1.3,20.5,1.1,25922,1200,1.8,0.6,16.4,2.3,37.7,3.4,44.2,3.7
