Rank,HS Code,Description,2010 Value,2011 Value,2012 Value,2013 Value,2010 % Share,2011 % Share,2012 % Share,2013 % Share,"% Change, 2012 - 2013"
---,---,Total ALABAMA Exports and % Share of U.S. Total,"15,495","17,881","19,572","19,299",1.2,1.2,1.3,1.2,-1.4
---,---,"Total, Top 25 Commodities and % Share of State Total","8,503","10,770","12,064","12,073",54.9,60.2,61.6,62.6,0.1
1,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,"1,774","1,765","2,541","2,610",11.5,9.9,13,13.5,2.7
2,870333,PASS VEH COM-IG INT COM ENG > 2500 CC,"1,557","1,488","1,743","1,747",10,8.3,8.9,9.1,0.2
3,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,656,"1,191","1,050","1,639",4.2,6.7,5.4,8.5,56.1
4,270112,"BITUMINOUS COAL, NOT AGGLOMERATED","1,668","2,195","1,672","1,239",10.8,12.3,8.5,6.4,-25.9
5,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",390,446,489,589,2.5,2.5,2.5,3.1,20.5
6,390740,"POLYCARBONATES, PR FMS",528,550,576,465,3.4,3.1,2.9,2.4,-19.2
7,870332,PASS VEH COM-IG INT COM ENG > 1500 NOV 2500 C,1,168,521,449,0,0.9,2.7,2.3,-13.9
8,382490,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY,",153,185,373,440,1,1,1.9,2.3,18
9,840734,SPARK-IGNTN RECPRCTING PISTON ENGINE ETC > 10,0,19,282,358,0,0.1,1.4,1.9,26.8
10,470321,"CHEMICAL WOODPULP, SODA ETC. N DIS S BL & BL",298,371,357,356,1.9,2.1,1.8,1.8,-0.3
11,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F",191,388,423,350,1.2,2.2,2.2,1.8,-17.3
12,900120,SHEETS AND PLATES OF POLARIZING MATERIAL,6,55,151,236,0,0.3,0.8,1.2,56.9
13,293090,ORGANO-SULFUR COMPOUNDS NESOI,130,167,177,186,0.8,0.9,0.9,1,5.2
14,840820,COMPRESSION-IGNTN INT COMBUSTION PISTON ENGIN,106,341,297,172,0.7,1.9,1.5,0.9,-41.9
15,760612,"ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM TH",142,201,139,164,0.9,1.1,0.7,0.9,17.8
16,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,93,142,145,137,0.6,0.8,0.7,0.7,-5.7
17,870830,BRAKES AND SERVO-BREAKS; PARTS THEREOF,120,114,121,119,0.8,0.6,0.6,0.6,-1.9
18,270119,"COAL NESOI, NOT AGGLOMERATED",14,23,74,118,0.1,0.1,0.4,0.6,58.4
19,481039,"KRAFT PPR/PBRD EX GRAPHIC, CLAY CTD UNBLCH RL",184,199,177,116,1.2,1.1,0.9,0.6,-34.5
20,290711,PHENOL (HYDROXYBENZENE) AND ITS SALTS,191,225,193,113,1.2,1.3,1,0.6,-41.7
21,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",76,78,79,105,0.5,0.4,0.4,0.5,32.3
22,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,23,217,230,96,0.2,1.2,1.2,0.5,-58.6
23,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T",100,101,83,92,0.6,0.6,0.4,0.5,10.8
24,870899,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESO",43,86,83,89,0.3,0.5,0.4,0.5,8
25,400510,"RUB, UNVULCANIZED, COMPOUND W/ CARBON BLK/SIL",58,55,87,88,0.4,0.3,0.4,0.5,1.5
