statename,rank,countryd,val2010,val2011,val2012,val2013,share10,share11,share12,share13,change
ALABAMA,0,World,15495.26,17881.21,19572.4,19299.18,1.212,1.208,1.2662,1.2223,-1.4
ALABAMA,0,Top 25,13109.83,15219.2,16921.87,17259.15,84.6054,85.1128,86.4578,89.4294,1.99
ALABAMA,1,Canada,3168.05,3306.15,3963.34,4282.19,20.4453,18.4895,20.2496,22.1885,8.05
ALABAMA,2,China,1910.68,2335.23,2389.66,2476.27,12.3308,13.0597,12.2093,12.831,3.62
ALABAMA,3,Germany,1785.93,1953.67,2547.16,2233.84,11.5257,10.9258,13.014,11.5748,-12.3
ALABAMA,4,Mexico,1125.06,1717.05,2030.91,2222.08,7.2607,9.6025,10.3764,11.5138,9.41
ALABAMA,5,United Kingdom,505,593.63,692.66,693.24,3.2591,3.3198,3.539,3.5921,0.08
ALABAMA,6,Japan,487.8,716.31,808.59,684.32,3.1481,4.0059,4.1313,3.5459,-15.37
ALABAMA,7,Brazil,661.06,659.48,639.91,633.24,4.2662,3.6881,3.2694,3.2812,-1.04
ALABAMA,8,"Korea, South",586.91,522.83,464.76,552.99,3.7877,2.9239,2.3745,2.8653,18.98
ALABAMA,9,France,340.15,331.42,410.69,426.86,2.1952,1.8535,2.0983,2.2118,3.94
ALABAMA,10,Australia,241.17,216.39,247.2,301.3,1.5564,1.2102,1.263,1.5612,21.88
ALABAMA,11,India,159.53,198.39,227.35,243.08,1.0296,1.1095,1.1616,1.2595,6.92
ALABAMA,12,Belgium,215.27,299.61,254.09,222.13,1.3893,1.6755,1.2982,1.151,-12.58
ALABAMA,13,Singapore,156.31,154.96,196.05,219.12,1.0087,0.8666,1.0017,1.1354,11.77
ALABAMA,14,Honduras,200.74,216.11,219.33,210.65,1.2955,1.2086,1.1206,1.0915,-3.96
ALABAMA,15,Turkey,106,116.43,187.3,210.62,0.6841,0.6511,0.957,1.0913,12.45
ALABAMA,16,Colombia,153.59,192.57,188.58,210.03,0.9912,1.077,0.9635,1.0883,11.38
ALABAMA,17,South Africa,124.02,135.77,158.99,184.96,0.8004,0.7593,0.8123,0.9584,16.33
ALABAMA,18,United Arab Emirates,100.84,178.56,132.62,184.11,0.6508,0.9986,0.6776,0.954,38.82
ALABAMA,19,Saudi Arabia,134.45,179.93,167.03,181.29,0.8677,1.0063,0.8534,0.9394,8.54
ALABAMA,20,Italy,211.87,229.5,178.88,173.55,1.3673,1.2835,0.9139,0.8993,-2.98
ALABAMA,21,Hong Kong,236.76,261.09,204,168.69,1.528,1.4601,1.0423,0.8741,-17.31
ALABAMA,22,Netherlands,306.1,300.06,241.79,142.63,1.9755,1.6781,1.2353,0.739,-41.01
ALABAMA,23,Thailand,58.29,173.06,183.76,138.05,0.3761,0.9678,0.9389,0.7153,-24.87
ALABAMA,24,Chile,76.23,147.03,106.29,133.35,0.492,0.8223,0.5431,0.691,25.46
ALABAMA,25,Russia,58.01,83.97,80.94,130.53,0.3743,0.4696,0.4136,0.6764,61.26
ALASKA,0,World,4154.78,5258.96,4543.4,4565.09,0.325,0.3553,0.2939,0.2891,0.48
ALASKA,0,Top 25,3874.82,4892.8,4383.92,4519.37,93.2618,93.0374,96.4899,98.9986,3.09
ALASKA,1,China,921.28,1477.19,1353.69,1250.22,22.1739,28.0889,29.7946,27.3866,-7.64
ALASKA,2,Japan,1217.63,1085.63,780.39,745.02,29.3067,20.6434,17.1764,16.32,-4.53
ALASKA,3,"Korea, South",477.01,642.25,663.18,683.31,11.481,12.2125,14.5966,14.9681,3.03
ALASKA,4,Canada,390.56,586.39,466.51,603.18,9.4002,11.1503,10.2678,13.2129,29.3
ALASKA,5,Germany,174.38,261.44,274.47,287.85,4.197,4.9714,6.0411,6.3054,4.87
ALASKA,6,Singapore,7.98,11.27,123.99,209.47,0.1921,0.2143,2.7291,4.5886,68.94
ALASKA,7,Spain,163.44,205.12,151.38,141.35,3.9337,3.9004,3.3319,3.0963,-6.63
ALASKA,8,Netherlands,115.02,172.71,121.29,111.41,2.7684,3.2841,2.6695,2.4404,-8.15
ALASKA,9,Belgium,63.99,31.43,59.13,64.86,1.5402,0.5976,1.3014,1.4208,9.7
ALASKA,10,Australia,65.52,96.1,107.89,62.05,1.5769,1.8274,2.3747,1.3593,-42.49
ALASKA,11,France,40.91,47.71,36.84,49.73,0.9846,0.9073,0.8108,1.0894,35.01
ALASKA,12,Finland,40.85,59.87,44.85,42.57,0.9831,1.1385,0.9871,0.9324,-5.08
ALASKA,13,Thailand,21.33,35.16,11.58,42.36,0.5135,0.6686,0.2548,0.9279,265.86
ALASKA,14,Ukraine,9.43,17.61,20.75,37.28,0.2269,0.3348,0.4568,0.8165,79.62
