statename,rank,countryd,val2010,val2011,val2012,val2013,share10,share11,share12,share13,change
ALABAMA,0,World,14899.35,17441.4,18338.29,18940.42,0.7785,0.7899,0.806,0.8353,3.28
ALABAMA,0,Top 25,12504.27,15757.09,17191.83,17908.7,83.9249,90.343,93.7483,94.5528,4.17
ALABAMA,1,"Korea, South",2918.54,3360.72,3824.02,4032.33,19.5884,19.2686,20.8527,21.2896,5.45
ALABAMA,2,Germany,2132.05,2257.04,2897.42,3025,14.3097,12.9407,15.7998,15.9711,4.4
ALABAMA,3,Canada,1494.7,1735.46,1618.08,2026.07,10.032,9.9503,8.8235,10.697,25.21
ALABAMA,4,China,1644.56,1945.8,1957.64,1971.6,11.0378,11.1562,10.6752,10.4095,0.71
ALABAMA,5,Brazil,282.82,1679.56,1762.92,1578.2,1.8982,9.6297,9.6133,8.3325,-10.48
ALABAMA,6,Mexico,846.22,974.14,1185.61,1405.6,5.6796,5.5852,6.4652,7.4212,18.55
ALABAMA,7,Japan,916.08,1035.51,1181.59,1320.26,6.1485,5.9371,6.4433,6.9706,11.74
ALABAMA,8,Italy,113.8,229.13,522.85,256.75,0.7638,1.3137,2.8512,1.3556,-50.89
ALABAMA,9,Honduras,355.69,287.38,246.15,219.41,2.3873,1.6477,1.3423,1.1584,-10.86
ALABAMA,10,France,184.47,139.04,145.68,211.11,1.2381,0.7972,0.7944,1.1146,44.91
ALABAMA,11,United Kingdom,218.68,155.8,176.56,193.61,1.4677,0.8933,0.9628,1.0222,9.65
ALABAMA,12,Colombia,426.77,293.1,307,187.77,2.8644,1.6805,1.6741,0.9914,-38.83
ALABAMA,13,Vietnam,95.3,105.74,136.61,177.2,0.6396,0.6063,0.7449,0.9356,29.71
ALABAMA,14,Czech Republic,113.98,134.33,194.96,154.06,0.765,0.7702,1.0631,0.8134,-20.98
ALABAMA,15,Russia,18.24,36.83,95.65,147.55,0.1224,0.2111,0.5216,0.779,54.27
ALABAMA,16,Taiwan,138.09,119.43,142.57,142.37,0.9268,0.6848,0.7774,0.7517,-0.14
ALABAMA,17,Netherlands,70.56,77.49,85.77,118.97,0.4736,0.4443,0.4677,0.6282,38.71
ALABAMA,18,El Salvador,124.63,149.94,118.95,110.36,0.8365,0.8597,0.6487,0.5827,-7.22
ALABAMA,19,Norway,140.54,661.32,170.66,102.61,0.9433,3.7917,0.9306,0.5417,-39.87
ALABAMA,20,Spain,66.83,58.45,68.32,92.92,0.4486,0.3351,0.3725,0.4906,36.01
ALABAMA,21,India,57.28,82.06,90.36,91.59,0.3844,0.4705,0.4927,0.4835,1.36
ALABAMA,22,Finland,12.34,9.47,16.19,91.4,0.0828,0.0543,0.0883,0.4825,464.4
ALABAMA,23,Australia,53.85,76.24,70.3,84.08,0.3614,0.4371,0.3833,0.4439,19.61
ALABAMA,24,Indonesia,21.97,93.64,76.42,84.04,0.1475,0.5369,0.4167,0.4437,9.98
ALABAMA,25,Hungary,56.28,59.45,99.56,83.84,0.3777,0.3409,0.5429,0.4427,-15.79
ALASKA,0,World,1476.45,1825.79,2105.28,1480.41,0.0771,0.0827,0.0925,0.0653,-29.68
ALASKA,0,Top 25,1453.38,1790.45,2037.72,1461.92,98.4373,98.0644,96.7909,98.7508,-28.26
ALASKA,1,Canada,479,561.63,645.85,547.71,32.4423,30.7609,30.6776,36.9968,-15.2
ALASKA,2,"Korea, South",362.28,372.08,444.47,438.65,24.5372,20.3793,21.1123,29.6303,-1.31
ALASKA,3,China,187.53,398.16,200.59,181.11,12.7015,21.8076,9.5279,12.2335,-9.71
ALASKA,4,Japan,80.95,113.18,281.07,66.43,5.483,6.1992,13.3506,4.4873,-76.36
ALASKA,5,France,20.93,30,37.58,42.33,1.4174,1.6432,1.7852,2.8597,12.64
ALASKA,6,Switzerland,15.45,3.32,7.09,22.37,1.0463,0.1817,0.337,1.5107,215.26
ALASKA,7,United Kingdom,98.47,27.95,123.79,20.62,6.6695,1.5309,5.8801,1.3928,-83.34
ALASKA,8,Finland,2.4,3.03,2.37,20.53,0.1623,0.166,0.1124,1.3867,767.19
ALASKA,9,Russia,79.82,121.44,172.3,18.49,5.4063,6.6512,8.184,1.249,-89.27
ALASKA,10,Germany,17.74,16.88,19.67,16.92,1.2018,0.9248,0.9343,1.143,-13.97
ALASKA,11,Mexico,7.34,9.62,10.25,13.75,0.4969,0.5267,0.487,0.929,34.13
ALASKA,12,Taiwan,8.42,15.26,9.44,11.86,0.5706,0.8359,0.4482,0.8012,25.7
ALASKA,13,Singapore,4.2,9.21,6.83,9.86,0.2842,0.5043,0.3245,0.6662,44.35
ALASKA,14,Philippines,3.43,16.59,1.43,6.77,0.2325,0.9088,0.0677,0.4573,374.86
ALASKA,15,Italy,10.77,22.91,11.48,5.66,0.7295,1.255,0.5453,0.3823,-50.7
ALASKA,16,Netherlands,5.57,4.83,6.4,4.82,0.377,0.2644,0.3041,0.3255,-24.73
ALASKA,17,Sweden,1.64,6.91,14.94,4.66,0.111,0.3787,0.7096,0.3151,-68.78
ALASKA,18,Argentina,2.55,1.53,4.13,4.61,0.1727,0.084,0.1961,0.3113,11.62
ALASKA,19,Denmark,1.27,6.11,2.45,4.57,0.0863,0.3348,0.1162,0.3085,86.64
ALASKA,20,Norway,2.61,6.72,4.95,4.16,0.1765,0.3679,0.235,0.2813,-15.84
ALASKA,21,Australia,3.51,4.74,8.55,4.08,0.2378,0.2595,0.4061,0.2759,-52.22
ALASKA,22,India,0.86,0.89,10.67,3.64,0.058,0.0489,0.5069,0.2457,-65.92
ALASKA,23,Malaysia,55.83,35.77,9.44,3.12,3.7815,1.959,0.4483,0.2108,-66.93
ALASKA,24,Indonesia,0.49,1.41,1.4,2.62,0.0331,0.0773,0.0667,0.1769,86.38
ALASKA,25,South Africa,0.33,0.26,0.58,2.58,0.022,0.0144,0.0277,0.174,341.57
ARIZONA,0,World,15622.65,17570.67,18949.67,18989.29,0.8163,0.7958,0.8328,0.8374,0.21
ARIZONA,0,Top 25,14937.63,17046.19,18156.59,18274.05,95.6152,97.0151,95.8148,96.2335,0.65
ARIZONA,1,Mexico,5630.89,6167.03,6753.03,7042.81,36.0431,35.0985,35.6366,37.0883,4.29
ARIZONA,2,China,2096.2,2435.16,2737.46,2477.11,13.4177,13.8592,14.4459,13.0448,-9.51
ARIZONA,3,Canada,996.61,1375.93,1541.16,1505.99,6.3793,7.8308,8.1329,7.9307,-2.28
ARIZONA,4,Japan,947.39,1712.09,1214.45,1357.06,6.0642,9.744,6.4088,7.1464,11.74
ARIZONA,5,Malaysia,952.95,1158.71,1284.79,1198.75,6.0998,6.5946,6.78,6.3128,-6.7
ARIZONA,6,Germany,476.2,539.42,678.53,570.71,3.0481,3.07,3.5807,3.0054,-15.89
ARIZONA,7,Taiwan,437.28,457.6,531.48,502.64,2.799,2.6044,2.8047,2.647,-5.43
ARIZONA,8,United Kingdom,426.66,415.75,439.3,431.45,2.7311,2.3662,2.3182,2.2721,-1.79
ARIZONA,9,Singapore,292.94,417.53,420.73,397.88,1.8751,2.3763,2.2203,2.0953,-5.43
ARIZONA,10,France,805.65,375.23,302.67,283.77,5.157,2.1356,1.5972,1.4944,-6.25
ARIZONA,11,Netherlands,222.95,260.27,300.33,281.06,1.4271,1.4813,1.5849,1.4801,-6.42
ARIZONA,12,Costa Rica,152.17,141.79,188.32,275.53,0.974,0.8069,0.9938,1.451,46.31
ARIZONA,13,"Korea, South",260.15,250.33,325.3,269.08,1.6652,1.4247,1.7166,1.417,-17.28
ARIZONA,14,Thailand,223.13,206.14,273.99,236.07,1.4282,1.1732,1.4459,1.2432,-13.84
ARIZONA,15,Italy,109.04,137.25,153.7,228.99,0.698,0.7811,0.8111,1.2059,48.99
ARIZONA,16,Czech Republic,120.5,168.47,197.95,192.23,0.7713,0.9588,1.0446,1.0123,-2.89
ARIZONA,17,India,125.66,134.69,167.08,175.91,0.8043,0.7665,0.8817,0.9263,5.28
ARIZONA,18,Israel,80.84,107.78,92.58,169.14,0.5175,0.6134,0.4886,0.8907,82.69
ARIZONA,19,Brazil,59.13,108.13,58.95,130.8,0.3785,0.6154,0.3111,0.6888,121.87
ARIZONA,20,Philippines,177.75,129.91,122.78,111.59,1.1378,0.7394,0.6479,0.5876,-9.12
ARIZONA,21,Hong Kong,89.47,80.7,66.88,105.25,0.5727,0.4593,0.3529,0.5542,57.37
ARIZONA,22,Switzerland,78.5,94.18,92.68,96.85,0.5025,0.536,0.4891,0.51,4.5
ARIZONA,23,Vietnam,44.81,38.55,53.02,86.58,0.2868,0.2194,0.2798,0.4559,63.3
ARIZONA,24,Australia,69.15,71.51,76.48,76.95,0.4427,0.407,0.4036,0.4052,0.62
ARIZONA,25,Indonesia,61.58,62.06,82.96,69.88,0.3942,0.3532,0.4378,0.368,-15.76
ARKANSAS,0,World,6768.6,7211.2,7414.46,7606.77,0.3537,0.3266,0.3259,0.3355,2.59
ARKANSAS,0,Top 25,6428.7,6814.21,7072.15,7341.47,94.9782,94.4948,95.3831,96.5123,3.81
ARKANSAS,1,China,2045.61,1934.58,2101.25,2257.11,30.2221,26.8274,28.3398,29.6723,7.42
ARKANSAS,2,France,901.81,1407.19,1565.01,1910.46,13.3234,19.5139,21.1075,25.1152,22.07
ARKANSAS,3,Canada,1336.08,1286.92,917.69,1006.81,19.7394,17.8461,12.3771,13.2357,9.71
ARKANSAS,4,Mexico,584.14,594.83,778.26,581.2,8.6301,8.2487,10.4965,7.6405,-25.32
ARKANSAS,5,Germany,232.26,305.73,390.2,335.41,3.4315,4.2396,5.2627,4.4094,-14.04
ARKANSAS,6,India,326.34,188.95,276.61,207.92,4.8214,2.6203,3.7307,2.7334,-24.83
