statename,rank,hs6,abbreviatn,val2010,val2011,val2012,val2013,share10,share11,share12,share13,change
ALABAMA,0,0,World,14899.35,17441.4,18338.29,18940.42,0.7785,0.7899,0.806,0.8353,3.28
ALABAMA,0,25,Top 25,6540.19,8020.56,8293,8349.98,43.8958,45.9858,45.2223,44.0855,0.69
ALABAMA,1,720712,SMFD IRN/NAL STL LT .25 PCT CRB RECT CS WID 2,311.87,1545.75,1568.03,1137.84,2.0932,8.8625,8.5506,6.0075,-27.44
ALABAMA,2,840734,SPARK-IGNTN RECPRCTING PISTON ENGINE ETC > 10,351.36,525.39,613.1,641.58,2.3582,3.0123,3.3433,3.3874,4.64
ALABAMA,3,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",338.1,422.76,607.58,597.47,2.2693,2.4239,3.3132,3.1545,-1.66
ALABAMA,4,870899,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESO",459.69,539.11,610.39,594.49,3.0853,3.091,3.3285,3.1387,-2.61
ALABAMA,5,840991,SPARK-IGNITION INT COMBUSTION PISTON ENG PTS,302.41,258.52,416.4,466.94,2.0297,1.4822,2.2707,2.4653,12.14
ALABAMA,6,940190,"PARTS OF SEATS (EX MEDICAL, BARBER, DENTAL ET",221.04,274.1,385.9,447.6,1.4835,1.5716,2.1043,2.3632,15.99
ALABAMA,7,840820,COMPRESSION-IGNTN INT COMBUSTION PISTON ENGIN,319.4,317.73,467.13,402.99,2.1437,1.8217,2.5473,2.1277,-13.73
ALABAMA,8,870894,"STEERING WHEELS, COLUMNS & BOXES F MOTOR VEHI",194.82,243.23,280.03,358.78,1.3076,1.3946,1.527,1.8942,28.12
ALABAMA,9,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,1566.78,1363.16,335.11,346.48,10.5157,7.8157,1.8274,1.8293,3.39
ALABAMA,10,870840,GEAR BOXES FOR MOTOR VEHICLES,417.72,296.24,348.77,334.12,2.8036,1.6985,1.9019,1.7641,-4.2
ALABAMA,11,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,174.27,208.56,289.14,304.37,1.1696,1.1958,1.5767,1.607,5.27
ALABAMA,12,870830,BRAKES AND SERVO-BREAKS; PARTS THEREOF,291.38,255.4,286.3,298.69,1.9557,1.4644,1.5612,1.577,4.33
ALABAMA,13,722490,SEMIFINISHED PRODUCTS OF ALLOY STEEL NOT STAI,2.99,16.08,13.04,264.54,0.0201,0.0922,0.0711,1.3967,1928.89
ALABAMA,14,711292,PLAT WST A SCRP NT CNTNG OTH PREC MTLS,175.96,261.78,246.02,238.93,1.181,1.5009,1.3415,1.2615,-2.88
ALABAMA,15,870870,ROAD WHEELS & PTS & ACCESSORIES FOR MOTOR VEH,126.13,147.36,199.73,209.76,0.8466,0.8449,1.0892,1.1075,5.02
ALABAMA,16,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,92.01,130.76,185.93,204.57,0.6175,0.7497,1.0139,1.0801,10.03
ALABAMA,17,854370,"ELEC MACH AND APP, HAVING INDIV FUNCTIONS, NE",78.92,97.65,174.91,194.52,0.5297,0.5599,0.9538,1.027,11.21
ALABAMA,18,290270,CUMENE,0,0,6.38,187.19,0,0,0.0348,0.9883,2835.54
