"title"
"Top U.S. Exports by State(Origin of Movement)"
"Top 25 6-digit HS Commodities Based on 2013 Dollar Value"

"statename","rank","hs6","abbreviatn","val2010","val2011","val2012","val2013","share10","share11","share12","share13","change"
"ALABAMA",0,000000,"World",15495.26,17881.21,19572.40,19299.18,1.2120,1.2080,1.2662,1.2223,-1.40
"ALABAMA",0,000025,"Top 25",8502.67,10770.26,12063.68,12073.17,54.8727,60.2323,61.6362,62.5579,0.08
"ALABAMA",1,870324,"PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC",1774.32,1764.89,2540.50,2610.24,11.4507,9.8701,12.9800,13.5251,2.75
"ALABAMA",2,870333,"PASS VEH COM-IG INT COM ENG > 2500 CC",1557.05,1488.45,1742.61,1746.79,10.0486,8.3241,8.9034,9.0511,0.24
"ALABAMA",3,870323,"PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV",655.67,1190.74,1049.84,1638.52,4.2315,6.6592,5.3639,8.4901,56.07
"ALABAMA",4,270112,"BITUMINOUS COAL, NOT AGGLOMERATED",1667.86,2195.16,1672.00,1238.93,10.7637,12.2763,8.5427,6.4196,-25.90
"ALABAMA",5,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",389.84,445.51,489.17,589.49,2.5159,2.4915,2.4993,3.0545,20.51
"ALABAMA",6,390740,"POLYCARBONATES, PR FMS",527.77,549.87,575.90,465.28,3.4060,3.0751,2.9424,2.4109,-19.21
"ALABAMA",7,870332,"PASS VEH COM-IG INT COM ENG > 1500 NOV 2500 C",0.54,168.28,521.45,449.20,0.0035,0.9411,2.6642,2.3276,-13.86
"ALABAMA",8,382490,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY,",153.37,185.33,372.56,439.69,0.9898,1.0365,1.9035,2.2783,18.02
"ALABAMA",9,840734,"SPARK-IGNTN RECPRCTING PISTON ENGINE ETC > 10",0.30,18.95,282.10,357.83,0.0019,0.1060,1.4413,1.8541,26.85
"ALABAMA",10,470321,"CHEMICAL WOODPULP, SODA ETC. N DIS S BL & BL",297.55,371.28,357.40,356.29,1.9203,2.0764,1.8260,1.8462,-0.31
"ALABAMA",11,020714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F",191.36,388.27,422.73,349.80,1.2350,2.1714,2.1598,1.8125,-17.25
"ALABAMA",12,900120,"SHEETS AND PLATES OF POLARIZING MATERIAL",6.21,55.22,150.72,236.41,0.0401,0.3088,0.7700,1.2250,56.86
"ALABAMA",13,293090,"ORGANO-SULFUR COMPOUNDS NESOI",129.81,167.24,177.28,186.45,0.8377,0.9353,0.9057,0.9661,5.17
"ALABAMA",14,840820,"COMPRESSION-IGNTN INT COMBUSTION PISTON ENGIN",106.14,340.91,297.05,172.50,0.6850,1.9065,1.5177,0.8938,-41.93
"ALABAMA",15,760612,"ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM TH",141.61,201.02,139.36,164.15,0.9139,1.1242,0.7120,0.8506,17.79
"ALABAMA",16,870880,"SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES",92.72,141.89,144.86,136.57,0.5984,0.7935,0.7401,0.7076,-5.73
"ALABAMA",17,870830,"BRAKES AND SERVO-BREAKS; PARTS THEREOF",120.16,113.91,121.37,119.05,0.7754,0.6370,0.6201,0.6169,-1.91
"ALABAMA",18,270119,"COAL NESOI, NOT AGGLOMERATED",14.35,23.24,74.25,117.58,0.0926,0.1300,0.3793,0.6093,58.37
"ALABAMA",19,481039,"KRAFT PPR/PBRD EX GRAPHIC, CLAY CTD UNBLCH RL",183.64,198.78,177.00,115.87,1.1851,1.1117,0.9043,0.6004,-34.54
"ALABAMA",20,290711,"PHENOL (HYDROXYBENZENE) AND ITS SALTS",191.43,224.52,193.03,112.54,1.2354,1.2556,0.9862,0.5831,-41.70
"ALABAMA",21,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",76.49,78.21,78.99,104.52,0.4936,0.4374,0.4036,0.5416,32.33
"ALABAMA",22,930690,"BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR",23.48,217.07,230.48,95.51,0.1516,1.2139,1.1776,0.4949,-58.56
"ALABAMA",23,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T",100.24,100.63,83.35,92.36,0.6469,0.5627,0.4259,0.4786,10.80
"ALABAMA",24,870899,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESO",43.17,85.83,82.70,89.35,0.2786,0.4800,0.4225,0.4630,8.04
"ALABAMA",25,400510,"RUB, UNVULCANIZED, COMPOUND W/ CARBON BLK/SIL",57.60,55.10,86.98,88.26,0.3717,0.3081,0.4444,0.4573,1.47
"ALASKA",0,000000,"World",4154.78,5258.96,4543.40,4565.09,0.3250,0.3553,0.2939,0.2891,0.48
"ALASKA",0,000025,"Top 25",2442.35,3150.60,4093.69,4347.29,58.7841,59.9093,90.1018,95.2290,6.19
"ALASKA",1,260800,"ZINC ORES AND CONCENTRATES",877.24,972.36,795.97,870.25,21.1139,18.4896,17.5192,19.0632,9.33
"ALASKA",2,260700,"LEAD ORES AND CONCENTRATES",402.41,494.84,428.07,374.19,9.6855,9.4094,9.4217,8.1967,-12.59
"ALASKA",3,030499,"FISH MEAT, FROZEN, NESOI",270.48,319.09,369.28,340.98,6.5102,6.0676,8.1279,7.4694,-7.66
"ALASKA",4,030475,"ALASKA POLLOCK FILLETS, FROZEN",0.00,0.00,206.80,283.69,0.0000,0.0000,4.5517,6.2142,37.18
"ALASKA",5,271019,"PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO",26.65,125.37,177.96,276.95,0.6415,2.3840,3.9168,6.0667,55.63
"ALASKA",6,030312,"PACIFIC SALMON, FROZEN, NESOI",0.00,0.00,147.01,258.49,0.0000,0.0000,3.2357,5.6624,75.83
"ALASKA",7,030389,"FISH, FROZEN, NESOI",0.00,0.00,377.88,251.22,0.0000,0.0000,8.3171,5.5030,-33.52
"ALASKA",8,030390,"FISH LIVERS AND ROES, FROZEN",0.00,0.00,214.54,244.74,0.0000,0.0000,4.7221,5.3612,14.08
"ALASKA",9,030363,"COD, FROZEN",0.00,0.00,249.68,230.25,0.0000,0.0000,5.4954,5.0437,-7.78
"ALASKA",10,440320,"CONIFEROUS WOOD IN THE ROUGH, NOT TREATED",113.53,118.14,150.96,162.60,2.7325,2.2465,3.3225,3.5618,7.71
"ALASKA",11,030339,"FLAT FISH NESOI EXCEPT FILLETS, LIVERS,  ROES",95.33,74.28,85.10,161.44,2.2946,1.4124,1.8730,3.5365,89.71
"ALASKA",12,260300,"COPPER ORES AND CONCENTRATES",36.81,199.28,169.49,152.71,0.8861,3.7894,3.7305,3.3452,-9.90
"ALASKA",13,261690,"PRECIOUS METAL ORES & CONCENTRATES, EXCEPT SI",19.93,142.12,107.99,138.15,0.4797,2.7024,2.3769,3.0263,27.92
"ALASKA",14,030367,"ALASKA POLLOCK, FROZEN",0.00,0.00,105.49,111.50,0.0000,0.0000,2.3219,2.4424,5.69
"ALASKA",15,030614,"CRABS, INCLUDING IN SHELL, FROZEN",72.53,113.39,125.77,99.06,1.7458,2.1561,2.7682,2.1699,-21.24
"ALASKA",16,230120,"FLOUR MEAL & PELLET OF FISH CRUSTACEANS ETC I",45.90,62.23,43.97,77.18,1.1049,1.1833,0.9677,1.6906,75.54
"ALASKA",17,030311,"SOCKEYE SALMON, FROZEN",132.42,131.81,89.10,60.57,3.1872,2.5064,1.9612,1.3267,-32.03
"ALASKA",18,270900,"CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER",0.00,0.02,0.00,50.44,0.0000,0.0003,0.0000,1.1050,0.00
"ALASKA",19,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",48.79,33.03,72.60,46.13,1.1744,0.6281,1.5978,1.0104,-36.46
"ALASKA",20,030351,"HERRINGS, FROZEN",35.45,38.03,22.93,45.23,0.8532,0.7231,0.5048,0.9907,97.21
"ALASKA",21,270119,"COAL NESOI, NOT AGGLOMERATED",4.27,30.86,30.63,26.71,0.1027,0.5867,0.6741,0.5851,-12.78
"ALASKA",22,271012,"LT OILS, PREPS GT=70% PETROLEUM/BITUM NT BIOD",0.00,0.00,1.99,23.68,0.0000,0.0000,0.0437,0.5187,1091.65
"ALASKA",23,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI",213.26,265.64,81.64,22.03,5.1328,5.0512,1.7969,0.4826,-73.02
"ALASKA",24,030213,"PACIFIC SALMON, FRESH OR CHILLED",0.00,0.00,19.91,20.87,0.0000,0.0000,0.4382,0.4572,4.81
"ALASKA",25,030221,"HALIBUT/GREENLAND TURBOT EX FILLET, LVR, ROE",47.33,30.11,18.94,18.23,1.1392,0.5726,0.4169,0.3994,-3.74
"ARIZONA",0,000000,"World",15720.86,17853.63,18405.12,19396.14,1.2296,1.2061,1.1907,1.2285,5.38
"ARIZONA",0,000025,"Top 25",7332.95,8911.21,9080.01,10225.14,46.6447,49.9126,49.3342,52.7174,12.61
"ARIZONA",1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",1710.74,1972.10,2207.11,2743.22,10.8820,11.0460,11.9918,14.1431,24.29
"ARIZONA",2,260300,"COPPER ORES AND CONCENTRATES",112.41,756.59,889.63,1548.61,0.7150,4.2378,4.8336,7.9841,74.07
"ARIZONA",3,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1217.49,1277.33,1202.61,1159.20,7.7444,7.1545,6.5341,5.9764,-3.61
"ARIZONA",4,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",665.19,470.69,550.64,647.57,4.2312,2.6364,2.9918,3.3386,17.60
"ARIZONA",5,271121,"NATURAL GAS, GASEOUS",188.95,376.98,372.75,541.03,1.2019,2.1115,2.0252,2.7894,45.15
"ARIZONA",6,930690,"BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR",173.27,254.20,353.73,431.35,1.1021,1.4238,1.9219,2.2239,21.94
"ARIZONA",7,853890,"PT F ELECT APPR F ELECT CIRCT; F ELCT CONTRL",330.05,407.84,409.39,344.70,2.0995,2.2843,2.2243,1.7771,-15.80
"ARIZONA",8,520100,"COTTON, NOT CARDED OR COMBED",196.71,365.02,326.01,252.08,1.2512,2.0445,1.7713,1.2996,-22.68
"ARIZONA",9,854390,"PT ELEC MACH & APPR W INDIVIDUAL FUNCTIONS, N",381.05,385.00,279.70,244.02,2.4239,2.1564,1.5197,1.2581,-12.76
"ARIZONA",10,851762,"MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE",257.85,399.00,259.21,228.53,1.6402,2.2348,1.4084,1.1782,-11.84
"ARIZONA",11,261390,"MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED",41.44,183.40,203.84,228.15,0.2636,1.0272,1.1075,1.1763,11.92
"ARIZONA",12,853669,"ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000",241.45,190.84,202.23,189.80,1.5358,1.0689,1.0988,0.9785,-6.15
"ARIZONA",13,902139,"ARTIFICIAL JOINTS & PARTS & ACCESSORIES THERO",118.05,186.42,214.81,185.24,0.7509,1.0442,1.1671,0.9551,-13.76
"ARIZONA",14,847330,"PARTS & ACCESSORIES FOR ADP MACHINES & UNITS",403.89,190.31,152.83,155.98,2.5692,1.0660,0.8304,0.8042,2.06
"ARIZONA",15,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",92.16,108.75,113.12,151.02,0.5862,0.6091,0.6146,0.7786,33.51
"ARIZONA",16,392690,"ARTICLES OF PLASTICS, NESOI",134.10,152.90,148.87,147.00,0.8530,0.8564,0.8088,0.7579,-1.25
"ARIZONA",17,261310,"MOLYBDENUM ORES AND CONCENTRATES ROASTED",263.65,303.03,252.06,145.02,1.6771,1.6973,1.3695,0.7477,-42.47
"ARIZONA",18,853690,"ELECT APPR F PRTCT TO ELECT CIRCT NOV 1000 V",150.10,157.95,139.91,131.97,0.9548,0.8847,0.7601,0.6804,-5.67
"ARIZONA",19,848620,"MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I",104.13,87.31,95.20,126.36,0.6623,0.4890,0.5172,0.6515,32.73
"ARIZONA",20,854449,"INSULATED ELECTRIC CONDUCTORS =< 80 V NESOI",125.05,131.19,144.15,117.46,0.7955,0.7348,0.7832,0.6056,-18.51
